Date,P(High),P(Med),P(Low)
2017-04-13,0.333333,0.333381,0.333334
2017-04-21,0.333333,0.333381,0.333334
2017-04-28,0.333333,0.333333,0.333333
2017-05-05,0.333333,0.333339,0.333341
2017-05-12,0.333333,0.333339,0.333341
2017-05-19,0.333333,0.333333,0.333333
2017-05-26,0.333333,0.333335,0.333599
2017-06-05,0.333333,0.333335,0.333599
2017-06-12,0.333333,0.333333,0.333333
2017-06-19,0.333333,0.333334,0.337366
2017-06-26,0.333333,0.333334,0.337366
2017-07-03,0.333333,0.333333,0.333333
2017-07-11,0.333333,0.333334,0.347864
2017-07-18,0.333333,0.333334,0.347864
2017-07-25,0.333333,0.333333,0.333333
2017-08-01,0.333333,0.333334,0.360313
2017-08-08,0.333333,0.333334,0.360313
2017-08-15,0.333333,0.333333,0.333333
2017-08-22,0.333333,0.333333,0.369632
2017-08-29,0.333333,0.333334,0.369632
2017-09-06,0.333333,0.333333,0.333333
2017-09-13,0.333333,0.333333,0.374184
2017-09-20,0.333333,0.333334,0.374184
2017-09-27,0.333333,0.333333,0.333333
2017-10-04,0.333333,0.333333,0.376934
2017-10-11,0.333333,0.333333,0.376934
2017-10-18,0.333333,0.333333,0.333333
2017-10-25,0.333333,0.333333,0.378609
2017-11-01,0.333333,0.333333,0.378609
2017-11-08,0.333333,0.333333,0.333333
2017-11-15,0.333333,0.333333,0.376045
2017-11-22,0.333333,0.333333,0.376045
2017-11-30,0.333333,0.333333,0.333333
2017-12-07,0.333333,0.333333,0.366080
2017-12-14,0.333333,0.333333,0.366080
2017-12-21,0.333333,0.333333,0.333333
2017-12-29,0.333333,0.333333,0.353844
2018-01-08,0.333333,0.333333,0.353844
2018-01-16,0.333333,0.333333,0.333333
2018-01-23,0.333333,0.333333,0.344641
2018-02-01,0.333333,0.333333,0.344641
2018-02-08,0.333333,0.333333,0.333333
2018-02-15,0.333333,0.333333,0.340100
2018-02-23,0.333333,0.333333,0.340100
2018-03-02,0.333333,0.333333,0.333333
2018-03-09,0.333333,0.333333,0.337344
2018-03-16,0.333333,0.333333,0.337344
2018-03-23,0.333333,0.333333,0.333333
2018-04-02,0.333333,0.333333,0.335410
2018-04-09,0.333333,0.333333,0.335410
2018-04-16,0.333333,0.333333,0.333333
2018-04-23,0.333333,0.333333,0.334207
2018-04-30,0.333333,0.333333,0.334207
2018-05-07,0.333333,0.333333,0.333333
2018-05-14,0.333333,0.333333,0.333675
2018-05-21,0.333333,0.333333,0.333675
2018-05-29,0.333333,0.333333,0.333333
